	Chromosome	Position	113B_CM+_vs_113B_PBMC.tumour
1_1069443	1	1069443	-1.21139696226387
1_1069566	1	1069566	-0.985754595389805
1_1069577	1	1069577	-1.06343811851838
1_1071916	1	1071916	-0.820884904839012
1_1072052	1	1072052	-0.749948998028066
1_1072237	1	1072237	-1.21449354005902
1_1072454	1	1072454	-1.03250285458128
1_1083934	1	1083934	-0.589111247208255
1_1084003	1	1084003	-0.928094506275347
1_1087154	1	1087154	-0.745008256757796
1_1087155	1	1087155	-0.69254083686366
1_1091167	1	1091167	-0.623452779647977
1_1091290	1	1091290	-1.10495858775442
1_1091576	1	1091576	-1.24590649269048
1_1180168	1	1180168	-0.32836865288245
1_1180802	1	1180802	-0.64949129783307
1_1185041	1	1185041	-1.23664357136151
1_1185051	1	1185051	-1.26501531563818
1_1185123	1	1185123	-0.897506186441924
1_1188877	1	1188877	-1.05955189445465
1_1194632	1	1194632	-0.615249800670612
1_1196705	1	1196705	-0.915566157986915
1_1197558	1	1197558	-1.19824005906016
1_1197586	1	1197586	-1.19600158686416
1_1197745	1	1197745	-0.923139377691716
1_1203822	1	1203822	-1.1445294723154
1_1203836	1	1203836	-1.0800975997204
1_1203871	1	1203871	-1.17285474064025
1_1204015	1	1204015	-0.87306142947238
1_1204185	1	1204185	-0.455501639562811
1_1206396	1	1206396	-1.1975820453471
1_1211585	1	1211585	-0.704861108499528
1_1211644	1	1211644	-0.86927250571298
1_1212898	1	1212898	-0.682178634007419
1_1213249	1	1213249	-0.922000748362673
1_1213734	1	1213734	-1.44440064632956
1_1214100	1	1214100	-0.479794552864755
1_1217629	1	1217629	-1.13697212113731
1_1218703	1	1218703	-0.803824170397405
1_1218967	1	1218967	-1.42106814249894
1_1228651	1	1228651	-1.30595387636042
1_1228685	1	1228685	-0.855116539658311
1_1232416	1	1232416	-1.23140692299536
1_1232800	1	1232800	-1.12561225897277
1_1242506	1	1242506	-0.795434277182054
1_1242516	1	1242516	-0.827257739859255
1_1242601	1	1242601	-0.868548564053118
1_1242864	1	1242864	-0.662746234603307
1_1242871	1	1242871	-0.787242061011376
1_1242875	1	1242875	-0.654138814064207
1_1242886	1	1242886	-0.756545263788459
1_1243468	1	1243468	-0.883006616746809
1_1244420	1	1244420	-1.07552486993057
1_1246651	1	1246651	-0.922000748362673
1_1255392	1	1255392	-0.922217939938678
1_1262318	1	1262318	-0.481525440943871
1_1266173	1	1266173	-0.934246733256943
1_1266225	1	1266225	-0.810794553248594
1_1284021	1	1284021	-0.964620382300461
1_1285442	1	1285442	-0.977089734262678
1_1285529	1	1285529	-0.709239549010103
1_1285594	1	1285594	-1.02351407135403
1_1286150	1	1286150	-0.486220822024188
1_1286952	1	1286952	-0.346211398486163
1_1287578	1	1287578	-1.28217003667725
1_1287983	1	1287983	-1.03500971019186
1_1288005	1	1288005	-0.983479409551777
1_1290683	1	1290683	-1.17052468084834
1_1290687	1	1290687	-1.19230710330642
1_1291289	1	1291289	-0.720749981002892
1_1291310	1	1291310	-0.579330226415669
1_1291396	1	1291396	-0.684512463107726
1_1294498	1	1294498	-0.839719910993899
1_1296589	1	1296589	-1.50469142552291
1_1309258	1	1309258	-0.887452521778001
1_1310642	1	1310642	-1.08317699265237
1_1310993	1	1310993	-1.01298340386186
1_1311058	1	1311058	-1.31450253875882
1_1311467	1	1311467	-0.743216311376641
1_1311527	1	1311527	-0.963273956592945
1_1311620	1	1311620	-0.657804284438754
1_1312114	1	1312114	-0.814619641766559
1_1313527	1	1313527	-1.28654847718782
1_1313807	1	1313807	-0.744494567935958
1_1315577	1	1315577	-0.87151097790898
1_1319056	1	1319056	-0.918816692687337
1_1319063	1	1319063	-1.01405009155621
1_1327457	1	1327457	-0.990985086299861
1_1327560	1	1327560	-0.739794898608916
1_1327577	1	1327577	-0.8248271866238
1_1327705	1	1327705	-1.32749402718674
1_1331666	1	1331666	-1.28098895184592
1_1332116	1	1332116	-0.810110433244836
1_1332124	1	1332124	-0.759036248650567
1_1332226	1	1332226	-1.03756541509562
1_1332271	1	1332271	-1.25260114526449
1_1332677	1	1332677	-1.43755626528751
1_1333466	1	1333466	-0.732804707077387
1_1334123	1	1334123	-0.757178302429985
1_1334174	1	1334174	-0.815476942994652
1_1334422	1	1334422	-0.727121068573805
1_1336134	1	1336134	-0.602050302915753
1_1336256	1	1336256	-1.13970708885855
1_1336473	1	1336473	-1.0800975997204
1_1338022	1	1338022	-0.956399875495493
1_1339592	1	1339592	-1.1504869276118
1_1340503	1	1340503	-0.795058917471106
1_1342153	1	1342153	-1.14012641600607
1_1353897	1	1353897	-0.919728924801757
1_1354066	1	1354066	-1.17493997133633
1_1355028	1	1355028	-0.941900305800378
1_1387355	1	1387355	-0.771975304358065
1_1393431	1	1393431	-1.02251876600866
1_1399095	1	1399095	-0.856508814569733
1_1405744	1	1405744	-0.652676375985721
1_1405858	1	1405858	-0.962658865967175
1_1419135	1	1419135	-1.07263478249178
1_1419136	1	1419136	-1.03500971019186
1_1419158	1	1419158	-0.798447515719256
1_1419399	1	1419399	-0.87801694176839
1_1419540	1	1419540	-0.923978397803115
1_1420066	1	1420066	-1.00901450165891
1_1420173	1	1420173	-1.00699533402226
1_1420283	1	1420283	-0.8248271866238
1_1420931	1	1420931	-1.05827948951471
1_1426164	1	1426164	-1.06965585299875
1_1426253	1	1426253	-0.901258321303032
1_1426316	1	1426316	-0.693365469661699
1_1426353	1	1426353	-0.479794552864755
1_1434873	1	1434873	-1.09390339924543
1_1434897	1	1434897	-0.839089500216602
1_1434899	1	1434899	-0.840146806999645
1_1436888	1	1436888	-1.07153558621697
1_1436889	1	1436889	-1.05374627277344
1_1437061	1	1437061	-1.34644543126158
1_1437288	1	1437288	-0.662746234603307
1_1439581	1	1439581	-1.10059805181944
1_1439682	1	1439682	-0.513241035957897
1_1439715	1	1439715	-0.732082577234553
1_1452367	1	1452367	-0.797510396465203
1_1455506	1	1455506	-0.842364632249463
1_1455812	1	1455812	-1.07807843208375
1_1455828	1	1455828	-1.01116296823749
1_1457141	1	1457141	-0.819281019136422
1_1457142	1	1457142	-0.86661217849614
1_1460831	1	1460831	-0.91190556550254
1_1460864	1	1460864	-0.969914681969974
1_1468408	1	1468408	-1.32299047315588
1_1468434	1	1468434	-1.24929708189125
1_1477343	1	1477343	-1.17333786673983
1_1478568	1	1478568	-0.678865899966584
1_1485152	1	1485152	-0.69254083686366
1_1485808	1	1485808	-0.663915558500612
1_1487887	1	1487887	-0.680552276594471
1_1489782	1	1489782	-1.26880689480056
1_1490287	1	1490287	-0.752866481410361
1_1490346	1	1490346	-1.13454538374277
1_1490373	1	1490373	-0.941900305800378
1_1495604	1	1495604	-0.836105641777781
1_1495695	1	1495695	-0.787572159409084
1_1495725	1	1495725	-0.689513144166092
1_1495783	1	1495783	-0.636320205000499
1_1495793	1	1495793	-0.624418115944207
1_1512312	1	1512312	-0.602050302915753
1_1523889	1	1523889	-0.934704804396174
1_1533961	1	1533961	-1.11680380135551
1_1535427	1	1535427	-0.970755168472563
1_1535428	1	1535428	-0.999044212903986
1_1544894	1	1544894	-0.977444422658045
1_1599902	1	1599902	-1.38139084880376
1_1615755	1	1615755	-1.07552486993057
1_1615856	1	1615856	-0.975989196379659
1_1615869	1	1615869	-1.0659665227423
1_1616572	1	1616572	-0.646444422274207
1_1623412	1	1623412	-0.936606006130865
1_1623829	1	1623829	-1.1679039806892
1_1623847	1	1623847	-1.11711079040675
1_1625566	1	1625566	-1.22263671336763
1_1627150	1	1627150	-0.893965828736676
1_1627322	1	1627322	-1.37725778945882
1_1629261	1	1629261	-1.56155552468769
1_1630322	1	1630322	-1.23140692299536
1_1632438	1	1632438	-0.771975304358065
1_1636993	1	1636993	-1.10715949594769
1_1637828	1	1637828	-1.14012641600607
1_1665856	1	1665856	-1.40202569460776
1_1669706	1	1669706	-0.950312545616578
1_1704310	1	1704310	-0.672439630807151
1_1719368	1	1719368	-0.921352928396292
1_1732521	1	1732521	-1.27447564488725
1_1752910	1	1752910	-0.909478828108
1_1754628	1	1754628	-0.515876945734648
1_1754642	1	1754642	-0.637433180979238
1_1757280	1	1757280	-0.6488270735852
1_1759105	1	1759105	-1.29351242493759
1_1762005	1	1762005	-0.552662275953589
1_1815818	1	1815818	-0.881599795532563
1_1891375	1	1891375	-1.07863664259212
1_1915326	1	1915326	-0.923978397803115
1_1916540	1	1916540	-1.49444132882916
1_1916792	1	1916792	-0.976795096246563
1_1918513	1	1918513	-1.27644788721885
1_1923136	1	1923136	-0.986988195328916
1_1923140	1	1923140	-1.25740213152831
1_1923904	1	1923904	-1.03221107683919
1_1924451	1	1924451	-1.02436246599235
1_1926326	1	1926326	-1.07807843208375
1_1926457	1	1926457	-1.12427704828895
1_1926661	1	1926661	-1.11989860777837
1_1926722	1	1926722	-1.00024429203118
1_1942086	1	1942086	-1.23140692299536
1_1944420	1	1944420	-0.536162367259296
1_1956754	1	1956754	-1.00644055799509
1_1964940	1	1964940	-0.122472551442199
1_1966450	1	1966450	-0.604865318522807
1_1966521	1	1966521	-0.668139493373525
1_1968644	1	1968644	-1.14281299972637
1_1968772	1	1968772	-1.34621139848616
1_1970690	1	1970690	-1.18701280363691
1_1970786	1	1970786	-0.636320205000499
1_1972962	1	1972962	-1.4371081537632
1_1974028	1	1974028	-0.822601377428033
1_1985090	1	1985090	-0.887452521778001
1_2023748	1	2023748	-1.31354520956584
1_2024324	1	2024324	-1.21738645268043
1_2024503	1	2024503	-0.880035050215518
1_2024579	1	2024579	-0.945623391843095
1_2025598	1	2025598	-0.970755168472563
1_2025673	1	2025673	-1.42050293385669
1_2029235	1	2029235	-1.02977306182571
1_2029675	1	2029675	-0.617252709559423
1_2030027	1	2030027	-1.18260762451691
1_2056554	1	2056554	-1.15589028614113
1_2059575	1	2059575	-1.04046414028397
1_2074688	1	2074688	-0.955197128413835
1_2169339	1	2169339	-0.586419651201989
1_2169401	1	2169401	-0.909478828108
1_2169539	1	2169539	-0.983479409551777
1_2169545	1	2169545	-0.859438145608405
1_2180521	1	2180521	-1.11680380135551
1_2181939	1	2181939	-0.863897793799104
1_2182126	1	2182126	-0.84068805444208
1_2182337	1	2182337	-0.938625173767517
1_2182380	1	2182380	-0.950312545616578
1_2182443	1	2182443	-0.902678996002659
1_2182461	1	2182461	-0.85120199550864
1_2182465	1	2182465	-0.969276744731683
1_2190570	1	2190570	-0.745980095825121
1_2198019	1	2198019	-0.950312545616578
1_2201209	1	2201209	-0.822601377428033
1_2229237	1	2229237	-0.834711059706028
1_2240778	1	2240778	-1.19230710330642
1_2303882	1	2303882	-0.987703995413502
1_2303939	1	2303939	-0.528704153345702
1_2304552	1	2304552	-0.735449428332951
1_2306103	1	2306103	-0.713872349794497
1_2321534	1	2321534	-0.882399294051716
1_2332683	1	2332683	-1.09390339924543
1_2332752	1	2332752	-0.913331153603607
1_2358704	1	2358704	-0.953582110848013
1_2379143	1	2379143	-0.356937805079222
1_2403103	1	2403103	-1.03500971019186
1_2405080	1	2405080	-0.06148192155305
1_2406784	1	2406784	-0.964620382300461
1_2406885	1	2406885	-0.771975304358065
1_2408773	1	2408773	-0.889811794651924
1_2412497	1	2412497	-0.999781221880878
1_2427689	1	2427689	-1.13934637000659
1_2430360	1	2430360	-1.12344767485944
1_2430393	1	2430393	-1.24328102328365
1_2489840	1	2489840	-1.4324888380864
1_2491211	1	2491211	-1.46904817140076
1_2494907	1	2494907	-1.05618373329627
1_2496979	1	2496979	-1.24770873532446
1_2499031	1	2499031	-1.18929374488815
1_2499660	1	2499660	-1.06615840876252
1_2502162	1	2502162	-0.93756137007604
1_2502203	1	2502203	-1.00392203240776
1_2502535	1	2502535	-0.928479790038056
1_2502732	1	2502732	-1.4173104230587
1_2504255	1	2504255	-0.936362122258947
1_2504662	1	2504662	-0.946473035590202
1_2504832	1	2504832	-0.791340629224996
1_2504866	1	2504866	-0.396466169265859
1_2520751	1	2520751	-0.892269538075777
1_2520882	1	2520882	-0.771975304358065
1_2521922	1	2521922	-0.519209233978098
1_2526571	1	2526571	-0.921352928396292
1_2529533	1	2529533	-0.865951452567079
1_2529549	1	2529549	-0.904425600381715
1_2529768	1	2529768	-0.802563624191488
1_2529825	1	2529825	-1.01861527194119
1_2530132	1	2530132	-0.784575341137699
1_2556673	1	2556673	-0.650669008135932
1_2559170	1	2559170	-0.937034550628562
1_2559173	1	2559173	-0.975508698443197
1_2559459	1	2559459	-0.348763873633521
1_2559483	1	2559483	-0.816369423716519
1_2559621	1	2559621	-0.844125090113901
1_2559632	1	2559632	-0.978426181825491
1_2559902	1	2559902	-0.799456040780172
1_2588536	1	2588536	-0.819281019136422
1_2591576	1	2591576	-0.72414677926745
1_2591973	1	2591973	-0.73133331986072
1_2592689	1	2592689	-0.445747072037077
1_2593833	1	2593833	-0.894832052143599
1_2596033	1	2596033	-0.829690802214353
1_2596615	1	2596615	-1.1975820453471
1_2606261	1	2606261	-1.45550163956281
1_2609829	1	2609829	-1.5144790820657
1_2609830	1	2609830	-1.54726901718337
1_2644433	1	2644433	-0.680344828892497
1_2783654	1	2783654	-0.964620382300461
1_2785877	1	2785877	-0.909478828108
1_2787490	1	2787490	-0.909478828108
1_2789597	1	2789597	-0.696687177053828
1_2800342	1	2800342	-1.61632443389787
1_2800478	1	2800478	-1.10381886811051
1_2800484	1	2800484	-1.0745380743785
1_2800545	1	2800545	-1.20493471163417
1_2800790	1	2800790	-0.740266444630727
1_3021701	1	3021701	-0.964620382300461
1_3021858	1	3021858	-0.585206792752339
1_3021860	1	3021860	-0.619972210913015
1_3022005	1	3022005	-0.829690802214353
1_3022574	1	3022574	-0.851702496828799
1_3186480	1	3186480	-1.23910131478536
1_3385157	1	3385157	-1.32749402718674
1_3386696	1	3386696	-1.25475741027274
1_3396544	1	3396544	-0.431899862760443
1_3405509	1	3405509	-0.868836843610654
1_3411623	1	3411623	-0.801121650017582
1_3411715	1	3411715	-0.616324433897871
1_3411881	1	3411881	-0.964620382300461
1_3412576	1	3412576	-0.898732446644004
1_3412736	1	3412736	-0.925780640437101
1_3425743	1	3425743	-0.463853008995733
1_3426071	1	3426071	-0.812239174571792
1_3426095	1	3426095	-0.658318522562498
1_3430956	1	3430956	-1.08844896915332
1_3431048	1	3431048	-1.51999608703327
1_3432131	1	3432131	-0.988293211284829
1_3463266	1	3463266	-1.40202569460776
1_3463493	1	3463493	-0.646444422274207
1_3469503	1	3469503	-0.856864201944578
1_3471739	1	3471739	-1.01298340386186
1_3473444	1	3473444	-1.01454560763214
1_3477892	1	3477892	-0.87151097790898
1_3478424	1	3478424	-0.947062010916156
1_3478612	1	3478612	-0.862173113329643
1_3479532	1	3479532	-1.28217003667725
1_3480485	1	3480485	-0.909478828108
1_3492645	1	3492645	-1.35693780507922
1_3492682	1	3492682	-1.25310199409468
1_3492708	1	3492708	-1.04405484979487
1_3493846	1	3493846	-0.755855638994788
1_3494017	1	3494017	-0.786925645824037
1_3494371	1	3494371	-1.27154631384858
1_3495901	1	3495901	-0.933726374354677
1_3495957	1	3495957	-1.20691236107461
1_3496003	1	3496003	-1.31846365726459
1_3497541	1	3497541	-1.1483511832678
1_3499682	1	3499682	-1.02977306182571
1_3499709	1	3499709	-1.34313200555419
1_3499885	1	3499885	-1.11220421598837
1_3501081	1	3501081	-0.537510050721042
1_3501198	1	3501198	-0.939575252854134
1_3505283	1	3505283	-0.980083499688266
1_3505549	1	3505549	-1.28982360922068
1_3508619	1	3508619	-1.16886545692665
1_3510787	1	3510787	-1.4500472094707
1_3514574	1	3514574	-1.53751005072104
1_3514671	1	3514671	-1.57034144318841
1_3515498	1	3515498	-0.902678996002659
1_3524189	1	3524189	-1.08563578326183
1_3547098	1	3547098	-1.18260762451691
1_3595444	1	3595444	-0.72414677926745
1_3602546	1	3602546	-0.540159629134991
1_3631426	1	3631426	-0.689513144166092
1_3722203	1	3722203	-0.456473478630136
1_3727147	1	3727147	-0.703588329377815
1_3752608	1	3752608	-1.35693780507922
1_3752637	1	3752637	-1.12890984907334
1_3752792	1	3752792	-1.04206446772581
1_3755518	1	3755518	-0.403330710563673
1_3756820	1	3756820	-1.04996005165783
1_3761290	1	3761290	-1.07314483907863
1_3761369	1	3761369	-1.35693780507922
1_3762639	1	3762639	-1.01013504155283
1_3763322	1	3763322	-1.03500971019186
1_3763538	1	3763538	-0.597296772945118
1_3763769	1	3763769	-0.566656396380559
1_3767350	1	3767350	-0.949513489910253
1_3769851	1	3769851	-1.26501531563818
1_3771308	1	3771308	-1.13237754706006
1_3782760	1	3782760	-0.849977816359338
1_3786945	1	3786945	-0.839719910993899
1_3787134	1	3787134	-0.708410175580599
1_3795946	1	3795946	-0.941900305800378
1_3815395	1	3815395	-0.625585817376542
1_3815444	1	3815444	-1.02654813144366
1_3823504	1	3823504	-0.797510396465203
1_3829360	1	3829360	-1.03500971019186
1_3829920	1	3829920	-0.85120199550864
1_3833933	1	3833933	-0.958676018551204
1_3835070	1	3835070	-1.02977306182571
1_3836504	1	3836504	-0.740266444630727
1_3839111	1	3839111	-0.71950788446393
1_3839662	1	3839662	-0.840146806999645
1_3839755	1	3839755	-1.06320660202251
1_3847485	1	3847485	-1.00275551118723
1_3851795	1	3851795	-1.22263671336763
1_3883554	1	3883554	-0.911700068024678
1_3883678	1	3883678	-1.08747713008599
1_3889984	1	3889984	-0.936720066694697
1_3890824	1	3890824	-1.27721061260849
1_3890943	1	3890943	-0.82406381550652
1_3891029	1	3891029	-1.18701280363691
1_3891765	1	3891765	-0.932439976551311
1_4711993	1	4711993	-1.60847657207519
1_5863309	1	5863309	-0.547760147414799
1_5864423	1	5864423	-0.868836843610654
1_5864440	1	5864440	-0.752346497609133
1_5866447	1	5866447	-1.11680380135551
1_5875036	1	5875036	-1.27000216830794
1_5875098	1	5875098	-1.25740213152831
1_5877102	1	5877102	-0.877769968380662
1_5880206	1	5880206	-1.26178057203888
1_5890953	1	5890953	-0.649118556572532
1_5904731	1	5904731	-0.725432718421035
1_5905324	1	5905324	-1.2838743428895
1_5905764	1	5905764	-0.841237966795179
1_5909185	1	5909185	-0.579330226415669
1_5948118	1	5948118	-1.03221107683919
1_5978411	1	5978411	-0.771975304358065
1_6073370	1	6073370	-0.854437464550038
1_6082248	1	6082248	-0.928700808045518
1_6082379	1	6082379	-0.829690802214353
1_6085742	1	6085742	-0.994367725694513
1_6085837	1	6085837	-1.13042927527054
1_6085846	1	6085846	-1.1504869276118
1_6085878	1	6085878	-0.880035050215518
1_6085974	1	6085974	-1.00760355285121
1_6086245	1	6086245	-0.935474036640945
1_6088993	1	6088993	-0.710574759693922
1_6098502	1	6098502	-0.915566157986915
1_6099890	1	6099890	-0.624129836386671
1_6099973	1	6099973	-0.579330226415669
1_6109928	1	6109928	-0.863897793799104
1_6124032	1	6124032	-0.490204335942686
1_6125548	1	6125548	-0.898352590127621
1_6130155	1	6130155	-0.682707966260978
1_6130255	1	6130255	-0.935111140137739
1_6136809	1	6136809	-0.883006616746809
1_6149303	1	6149303	-0.933438727052182
1_6152418	1	6152418	-0.820884904839012
1_6152469	1	6152469	-1.24800343352606
1_6207418	1	6207418	-1.02251876600866
1_6208898	1	6208898	-0.859438145608405
1_6208934	1	6208934	-1.34455408062339
1_6208961	1	6208961	-1.29990686004284
1_6209280	1	6209280	-1.40940522497336
1_6210409	1	6210409	-0.80300219997869
1_6211065	1	6211065	-0.87151097790898
1_6212018	1	6212018	-0.665060100441554
1_6212030	1	6212030	-0.626777388818129
1_6213147	1	6213147	-0.745008256757796
1_6218354	1	6218354	-1.11146177062973
1_6225119	1	6225119	-1.19647313288598
1_6235898	1	6235898	-1.23537582519831
1_6244394	1	6244394	-1.01813589162746
1_6245232	1	6245232	-0.703027950640574
1_6250433	1	6250433	-0.877328304504294
1_6250614	1	6250614	-1.35693780507922
1_6254623	1	6254623	-1.32557363416989
1_6294955	1	6294955	-0.80300219997869
1_6339467	1	6339467	-0.390104669014421
1_6349836	1	6349836	-0.609703875459188
1_6425205	1	6425205	-0.947825139757483
1_6440652	1	6440652	-1.11077721780982
1_6441049	1	6441049	-0.938333690780185
1_6445735	1	6445735	-1.18701280363691
1_6447451	1	6447451	-1.15340441099409
1_6448769	1	6448769	-0.847263431662302
1_6448885	1	6448885	-0.836826448708033
1_6449070	1	6449070	-0.801722647752117
1_6452055	1	6452055	-1.08456553466609
1_6454481	1	6454481	-1.21943428132929
1_6461443	1	6461443	-1.25310199409468
1_6462158	1	6462158	-0.75469731292623
1_6462984	1	6462984	-0.728031956770468
1_6463050	1	6463050	-0.662187158819953
1_6464643	1	6464643	-0.930673050377124
1_6468242	1	6468242	-0.80300219997869
1_6468255	1	6468255	-0.740266444630727
1_6468378	1	6468378	-0.863123192416261
1_6468505	1	6468505	-1.26551477731563
1_6469128	1	6469128	-0.972887998284062
1_6469143	1	6469143	-0.864093506346497
1_6473275	1	6473275	-0.85140977185247
1_6473333	1	6473333	-0.363169758790736
1_6474072	1	6474072	-0.484693352277594
1_6474109	1	6474109	-0.579330226415669
1_6474583	1	6474583	-0.909478828108
1_6475089	1	6475089	-0.918816692687337
1_6475992	1	6475992	-0.949762423573348
1_6476016	1	6476016	-1.00227292377986
1_6506029	1	6506029	-1.25740213152831
1_6506064	1	6506064	-1.05955189445465
1_6506148	1	6506148	-1.0520832235508
1_6550472	1	6550472	-0.898507710286997
1_6554475	1	6554475	-0.984969027692263
1_6555384	1	6555384	-1.04760974697149
1_6555409	1	6555409	-1.09390339924543
1_6571046	1	6571046	-0.865084708749547
1_6571204	1	6571204	-0.709239549010103
1_6574642	1	6574642	-0.803684164085404
1_6575249	1	6575249	-0.672439630807151
1_6578719	1	6578719	-0.91782617082152
1_6579332	1	6579332	-0.959602307533837
1_6579376	1	6579376	-1.17533099858927
1_6581000	1	6581000	-0.596403739774611
1_6593421	1	6593421	-0.665060100441554
1_6633012	1	6633012	-0.70784496693835
1_6633037	1	6633037	-0.732446940171428
1_6634039	1	6634039	-0.672439630807151
1_6634059	1	6634059	-0.644740116061957
1_6635690	1	6635690	-0.80300219997869
1_6636172	1	6636172	-0.771975304358065
1_6638330	1	6638330	-0.67167039856238
1_6644575	1	6644575	-1.09390339924543
1_6645814	1	6645814	-0.535535108535984
1_6645884	1	6645884	-0.483849917561441
1_6651086	1	6651086	-0.922217939938678
1_6825174	1	6825174	-0.821728339555165
1_7370160	1	7370160	-0.923978397803115
1_7370205	1	7370205	-0.876311964172801
1_7621940	1	7621940	-0.579330226415669
1_7663474	1	7663474	-0.983479409551777
1_7663528	1	7663528	-1.306752047911
1_7664502	1	7664502	-1.43494031708049
1_7664637	1	7664637	-1.32557363416989
1_7664737	1	7664737	-0.952547549999886
1_7670988	1	7670988	-0.514479082065701
1_7732460	1	7732460	-0.949513489910253
1_7737485	1	7737485	-1.02351407135403
1_7738425	1	7738425	-0.673794910419162
1_7778168	1	7778168	-0.862173113329643
1_7809988	1	7809988	-0.830868993411634
1_7810546	1	7810546	-0.78096408758532
1_7819317	1	7819317	-1.03028729994946
1_7826538	1	7826538	-1.14208693275539
1_7826690	1	7826690	-1.08800279780574
1_7827439	1	7827439	-0.889332254996224
1_7827501	1	7827501	-0.953305069072627
1_7827519	1	7827519	-0.829922653567345
1_7827709	1	7827709	-1.1719059112467
1_7829881	1	7829881	-0.959602307533837
1_7829887	1	7829887	-0.939085290193324
1_7829993	1	7829993	-1.79582204631243
1_7830004	1	7830004	-1.78320255978132
1_7830049	1	7830049	-0.99715016636584
1_7842655	1	7842655	-1.24590649269048
1_7842676	1	7842676	-1.23910131478536
1_7846697	1	7846697	-0.816369423716519
1_7852915	1	7852915	-0.821443980622365
1_7852944	1	7852944	-0.797510396465203
1_7935030	1	7935030	-0.990809906281324
1_7939911	1	7939911	-0.899730851556438
1_8013850	1	8013850	-0.713558618132743
1_8013869	1	8013869	-0.840146806999645
1_8013883	1	8013883	-0.960179039518686
1_8014274	1	8014274	-0.830868993411634
1_8330435	1	8330435	-0.785781103883096
1_8330720	1	8330720	-1.11389487443289
1_8330828	1	8330828	-0.829690802214353
1_8335614	1	8335614	-0.866302686906218
1_8339614	1	8339614	-0.37463980681268
1_8343775	1	8343775	-0.549582883021617
1_8343908	1	8343908	-1.44784630127743
1_8355558	1	8355558	-1.03500971019186
1_8358650	1	8358650	-0.740948408737441
1_8358860	1	8358860	-0.591403058716244
1_8359794	1	8359794	-0.966353349524917
1_8360375	1	8360375	-1.24590649269048
