	Chromosome	Position	67RT_CM+_vs_67_PBMC.tumour
1_1048126	1	1048126	0.768565685001416
1_1048900	1	1048900	0.900358417184653
1_1049046	1	1049046	0.819373974054057
1_1049746	1	1049746	0.82729495499493
1_1049791	1	1049791	0.876707149120008
1_1050785	1	1050785	0.763451171616751
1_1051538	1	1051538	0.932529059392463
1_1052014	1	1052014	0.620808924567843
1_1053768	1	1053768	0.690294024889127
1_1053827	1	1053827	0.667053839614238
1_1053840	1	1053840	0.766749952255736
1_1053915	1	1053915	0.527329075947625
1_1053933	1	1053933	0.436640855349642
1_1054917	1	1054917	0.661813592699116
1_1055393	1	1055393	0.666489441729663
1_1069443	1	1069443	0.713241831506118
1_1069566	1	1069566	0.820908266489305
1_1069577	1	1069577	0.873504717081665
1_1071916	1	1071916	0.28297443877112
1_1072052	1	1072052	0.469114462002329
1_1072237	1	1072237	0.803204625298924
1_1072454	1	1072454	0.697758907072722
1_1083934	1	1083934	1.22107263312713
1_1084003	1	1084003	1.19778884032167
1_1087154	1	1087154	0.711006733539421
1_1087155	1	1087155	0.689770265565571
1_1091167	1	1091167	0.324166126091229
1_1091290	1	1091290	0.174553580071174
1_1091576	1	1091576	0.822259365097632
1_1180168	1	1180168	0.880449550805825
1_1180802	1	1180802	0.857848121868693
1_1185041	1	1185041	0.675737206526681
1_1185051	1	1185051	0.615883286629108
1_1185123	1	1185123	0.957150141675329
1_1188877	1	1188877	0.436640855349642
1_1194632	1	1194632	0.869402348496775
1_1196705	1	1196705	0.896744902356553
1_1197558	1	1197558	0.651906221312839
1_1197586	1	1197586	0.741586276681067
1_1197745	1	1197745	0.754310517760282
1_1203822	1	1203822	0.666370745358631
1_1203836	1	1203836	0.715675089873832
1_1203871	1	1203871	0.972854224422773
1_1204015	1	1204015	1.09373638568936
1_1204185	1	1204185	0.722130112011132
1_1206396	1	1206396	0.909979523351879
1_1211585	1	1211585	0.730158485767066
1_1211644	1	1211644	0.602630572494629
1_1212898	1	1212898	0.649936287272986
1_1213249	1	1213249	0.685604235986018
1_1213734	1	1213734	0.850234937758817
1_1214100	1	1214100	0.706036761434874
1_1217629	1	1217629	0.762104027480152
1_1218703	1	1218703	0.561909612627284
1_1218967	1	1218967	0.828589943718837
1_1228651	1	1228651	0.618909391652362
1_1228685	1	1228685	0.606936749986286
1_1232416	1	1232416	0.663149385158322
1_1232800	1	1232800	0.484838814295346
1_1242506	1	1242506	0.995148606417548
1_1242516	1	1242516	1.01578456304182
1_1242601	1	1242601	1.08223735326909
1_1242864	1	1242864	0.596786580754221
1_1242871	1	1242871	0.663652592362897
1_1242875	1	1242875	0.687727407878988
1_1242886	1	1242886	0.723262081501052
1_1243468	1	1243468	1.02134685415157
1_1244420	1	1244420	0.78650934014843
1_1246651	1	1246651	0.651617260420794
1_1255392	1	1255392	0.591687922917337
1_1262318	1	1262318	0.89715598514631
1_1266173	1	1266173	0.638801728412236
1_1266225	1	1266225	0.7417775690339
1_1284021	1	1284021	1.24839861847326
1_1285442	1	1285442	0.409662346372836
1_1285529	1	1285529	0.473128765216229
1_1285594	1	1285594	0.561665439817886
1_1286150	1	1286150	0.636953567122123
1_1286952	1	1286952	0.485179594984515
1_1287578	1	1287578	0.403855014720389
1_1287983	1	1287983	0.965243823721666
1_1288005	1	1288005	0.940837486539724
1_1290683	1	1290683	0.633850625223845
1_1290687	1	1290687	0.661897899202624
1_1291289	1	1291289	0.728477218777015
1_1291310	1	1291310	0.698845887753932
1_1291396	1	1291396	0.919775871011894
1_1294498	1	1294498	0.609920608425107
1_1296589	1	1296589	0.853715506493779
1_1309258	1	1309258	1.08970087245421
1_1310642	1	1310642	0.836814421996496
1_1310993	1	1310993	0.955944378929932
1_1311058	1	1311058	0.872955014258901
1_1311467	1	1311467	0.89432269203698
1_1311527	1	1311527	0.97080552336721
1_1311620	1	1311620	0.671592719215396
1_1312114	1	1312114	0.93512383534533
1_1313527	1	1313527	1.32416612609123
1_1313807	1	1313807	0.857848121868693
1_1315577	1	1315577	0.78650934014843
1_1319056	1	1319056	0.896528590032752
1_1319063	1	1319063	0.846783512569888
1_1327457	1	1327457	0.784057861154334
1_1327560	1	1327560	0.594695068471948
1_1327577	1	1327577	0.701789663726956
1_1327705	1	1327705	0.742370904448757
1_1331666	1	1331666	0.473859058849079
1_1332116	1	1332116	0.775169122657946
1_1332124	1	1332124	0.714956079123396
1_1332226	1	1332226	0.559719795502916
1_1332271	1	1332271	0.592049931586419
1_1332677	1	1332677	0.93600433280378
1_1333466	1	1333466	1.01060150413849
1_1334123	1	1334123	0.790733926010155
1_1334174	1	1334174	0.758312448317778
1_1334422	1	1334422	0.63450624670338
1_1336134	1	1336134	0.587200531925023
1_1336256	1	1336256	0.458302798742766
1_1336473	1	1336473	0.648601076589167
1_1338022	1	1338022	0.398755442511913
1_1339592	1	1339592	0.834510585465801
1_1340503	1	1340503	1.00223803120387
1_1342153	1	1342153	0.800194255259222
1_1353897	1	1353897	0.759667727929789
1_1354066	1	1354066	1.0743878169597
1_1355028	1	1355028	1.02998302168677
1_1387355	1	1387355	0.957843911845414
1_1393431	1	1393431	0.784930899027202
1_1399095	1	1399095	0.887302264359207
1_1405744	1	1405744	0.472316894040673
1_1405858	1	1405858	1.09300349512705
1_1419135	1	1419135	0.814165683051295
1_1419136	1	1419136	0.829401434341652
1_1419158	1	1419158	0.811807374326913
1_1419399	1	1419399	0.651330869344739
1_1419540	1	1419540	0.5771468672611
1_1420066	1	1420066	1.1177152486238
1_1420173	1	1420173	0.924235519202594
1_1420283	1	1420283	0.896247335515653
1_1420931	1	1420931	0.587200531925023
1_1426164	1	1426164	0.886760813783931
1_1426253	1	1426253	1.03326492682449
1_1426316	1	1426316	0.93512383534533
1_1426353	1	1426353	1.00223803120387
1_1434873	1	1434873	0.807509638760982
1_1434897	1	1434897	0.879381283418334
1_1434899	1	1434899	0.905276301316779
1_1436888	1	1436888	0.753850401334475
1_1436889	1	1436889	0.766003684713789
1_1437061	1	1437061	0.878058619983137
1_1437288	1	1437288	0.786029481490792
1_1439581	1	1439581	0.520966833524937
1_1439682	1	1439682	0.976852712783954
1_1439715	1	1439715	0.906890154616386
1_1452367	1	1452367	0.728672957877904
1_1455506	1	1455506	0.590559544014938
1_1455812	1	1455812	0.439446911481331
1_1455828	1	1455828	0.462718501243878
1_1457141	1	1457141	0.872470156233538
1_1457142	1	1457142	0.83996660230499
1_1460831	1	1460831	0.872177490639494
1_1460864	1	1460864	0.755882366516704
1_1468408	1	1468408	0.966614121473146
1_1468434	1	1468434	0.875408008968385
1_1477343	1	1477343	0.600497354538481
1_1478568	1	1478568	0.750258813879069
1_1485152	1	1485152	0.638801728412236
1_1485808	1	1485808	0.701307017611545
1_1487887	1	1487887	0.655913282009038
1_1489782	1	1489782	0.857848121868693
1_1490287	1	1490287	0.989298975496369
1_1490346	1	1490346	1.36612144253261
1_1490373	1	1490373	1.37147184086959
1_1495604	1	1495604	0.913304302783579
1_1495695	1	1495695	1.05809126593738
1_1495725	1	1495725	0.891206718815123
1_1495783	1	1495783	0.8885812494083
1_1495793	1	1495793	1.00223803120387
1_1512312	1	1512312	1.16270270339711
1_1523889	1	1523889	0.499737690674684
1_1533961	1	1533961	0.652653593413639
1_1535427	1	1535427	0.875126113300528
1_1535428	1	1535428	0.802300460695115
1_1544894	1	1544894	0.754310517760282
1_1599902	1	1599902	0.582613262429372
1_1615755	1	1615755	0.842882271471742
1_1615856	1	1615856	0.774608961501272
1_1615869	1	1615869	0.810905090724262
1_1616572	1	1616572	0.591687922917337
1_1623412	1	1623412	0.639667951819159
1_1623829	1	1623829	0.526658989989973
1_1623847	1	1623847	0.579546959381588
1_1625566	1	1625566	0.710057279710557
1_1627150	1	1627150	0.942531785079599
1_1627322	1	1627322	0.68370851277837
1_1629261	1	1629261	0.931848703312469
1_1630322	1	1630322	1.11374634642086
1_1632438	1	1632438	0.572250190459052
1_1636993	1	1636993	0.949770611309732
1_1637828	1	1637828	0.811716125154441
1_1665856	1	1665856	1.03293482842678
1_1669706	1	1669706	1.01069960995206
1_1704310	1	1704310	0.777531744029173
1_1719368	1	1719368	0.779845609867419
1_1732521	1	1732521	1.03198537459792
1_1752910	1	1752910	0.739203625370074
1_1754628	1	1754628	0.811189738195801
1_1754642	1	1754642	0.82484178033042
1_1757280	1	1757280	1.22107263312713
1_1759105	1	1759105	1.15424112464892
1_1762005	1	1762005	1.18002515041915
1_1815818	1	1815818	0.949289151254908
1_1891375	1	1891375	0.389261154313115
1_1915326	1	1915326	0.782671653946183
1_1916540	1	1916540	1.19353668343875
1_1916792	1	1916792	0.82598739151214
1_1918513	1	1918513	1.01169836045293
1_1923136	1	1923136	0.866886178308981
1_1923140	1	1923140	0.859497859087785
1_1923904	1	1923904	0.739203625370074
1_1924451	1	1924451	0.951964824722644
1_1926326	1	1926326	0.388021725507597
1_1926457	1	1926457	0.786970044300801
1_1926661	1	1926661	0.9213180358203
1_1926722	1	1926722	1.3734938384548
1_1942086	1	1942086	0.950707730563785
1_1944420	1	1944420	0.759877193634823
1_1956754	1	1956754	0.472867856446028
1_1964940	1	1964940	0.6768377444097
1_1966450	1	1966450	0.388592775778626
1_1966521	1	1966521	0.13812145928564
1_1968644	1	1968644	0.963243899588004
1_1968772	1	1968772	0.72660358859044
1_1970690	1	1970690	1.08024054320514
1_1970786	1	1970786	0.884881080565708
1_1972962	1	1972962	0.525078820017226
1_1974028	1	1974028	1.07040953384545
1_1985090	1	1985090	0.78690036740137
1_2023748	1	2023748	0.863854547047945
1_2024324	1	2024324	0.850234937758817
1_2024503	1	2024503	0.569713105196182
1_2024579	1	2024579	0.74613967258045
1_2025598	1	2025598	0.571603676874005
1_2025673	1	2025673	0.657589859816421
1_2029235	1	2029235	0.522245090084253
1_2029675	1	2029675	0.800194255259222
1_2030027	1	2030027	0.800194255259222
1_2056554	1	2056554	0.852342600720808
1_2059575	1	2059575	0.501043888175309
1_2074688	1	2074688	0.436640855349642
1_2169339	1	2169339	0.770567796279408
1_2169401	1	2169401	1.05668581522624
1_2169539	1	2169539	1.0218668379528
1_2169545	1	2169545	0.992457010411282
1_2180521	1	2180521	0.715616805052458
1_2181939	1	2181939	0.944290681994588
1_2182126	1	2182126	0.731880284564215
1_2182337	1	2182337	1.22463045254032
1_2182380	1	2182380	1.21082465301528
1_2182443	1	2182443	0.844173184971616
1_2182461	1	2182461	0.917349133617354
1_2182465	1	2182465	0.862060373155607
1_2190570	1	2190570	1.11029777706132
1_2198019	1	2198019	0.691537191739759
1_2201209	1	2201209	0.853915284246766
1_2229237	1	2229237	0.932336017973711
1_2240778	1	2240778	0.480700910624345
1_2303882	1	2303882	0.694115735841535
1_2303939	1	2303939	0.575973276501769
1_2304552	1	2304552	0.604274045283965
1_2306103	1	2306103	0.9456545028375
1_2321534	1	2321534	0.668500634026872
1_2332683	1	2332683	0.6627515649322
1_2332752	1	2332752	0.817206137371347
1_2358704	1	2358704	0.582020292819343
1_2379143	1	2379143	0.889763301945455
1_2403103	1	2403103	0.873913934228328
1_2405080	1	2405080	0.704852120579296
1_2406784	1	2406784	0.992184366539944
1_2406885	1	2406885	0.553253200001686
1_2408773	1	2408773	0.468414379474512
1_2412497	1	2412497	0.699675261183436
1_2427689	1	2427689	0.63248141122589
1_2430360	1	2430360	0.938672902426401
1_2430393	1	2430393	0.910315541762828
1_2489840	1	2489840	1.13211831375078
1_2491211	1	2491211	0.917349133617354
1_2494907	1	2494907	0.720262061716613
1_2496979	1	2496979	0.487664858374109
1_2499031	1	2499031	0.787015105286262
1_2499660	1	2499660	0.893713574425698
1_2502162	1	2502162	0.714956079123396
1_2502203	1	2502203	0.835776885065126
1_2502535	1	2502535	0.942295490747585
1_2502732	1	2502732	0.826870944693307
1_2504255	1	2504255	1.03786194093459
1_2504662	1	2504662	0.670394467451422
1_2504832	1	2504832	0.663149385158322
1_2504866	1	2504866	0.667370880609007
1_2520751	1	2520751	1.07262735909527
1_2520882	1	2520882	0.933525281119853
1_2521922	1	2521922	0.720825096055219
1_2526571	1	2526571	0.968290699280529
1_2529533	1	2529533	1.00223803120387
1_2529549	1	2529549	1.01060150413849
1_2529768	1	2529768	1.07800553882183
1_2529825	1	2529825	0.891206718815123
1_2530132	1	2530132	0.627093259048536
1_2556673	1	2556673	1.12899517348981
1_2559170	1	2559170	1.01750478785718
1_2559173	1	2559173	1.18666260234129
1_2559459	1	2559459	0.657326618315666
1_2559483	1	2559483	0.498471613330692
1_2559621	1	2559621	0.795005417038425
1_2559632	1	2559632	0.782925002799391
1_2559902	1	2559902	0.478676075146854
1_2588536	1	2588536	0.903228025372701
1_2591576	1	2591576	0.909128626812386
1_2591973	1	2591973	0.666817699988391
1_2592689	1	2592689	0.812967680042128
1_2593833	1	2593833	1.10703422121548
1_2596033	1	2596033	0.906022715944564
1_2596615	1	2596615	0.683876551336697
1_2606261	1	2606261	0.862834974538451
1_2609829	1	2609829	0.612291512887854
1_2609830	1	2609830	0.60581621009237
1_2644433	1	2644433	0.850234937758817
1_2783654	1	2783654	0.99485850083827
1_2785877	1	2785877	0.627842516422369
1_2787490	1	2787490	0.739203625370074
1_2789597	1	2789597	0.734426485108201
1_2800342	1	2800342	0.781211151891649
1_2800478	1	2800478	0.412702800692887
1_2800484	1	2800484	0.389261154313115
1_2800545	1	2800545	0.832313029761555
1_2800790	1	2800790	0.693287790314715
1_3021701	1	3021701	0.591954061895658
1_3021858	1	3021858	0.83411527239554
1_3021860	1	3021860	0.821665785562046
1_3022005	1	3022005	0.798224139182274
1_3022574	1	3022574	0.678109028123234
1_3186480	1	3186480	1.00223803120387
1_3385157	1	3385157	0.534251651976065
1_3386696	1	3386696	0.832313029761555
1_3396544	1	3396544	0.836953416653464
1_3405509	1	3405509	1.06113172025744
1_3411623	1	3411623	0.623726407950137
1_3411715	1	3411715	0.257892906672064
1_3411881	1	3411881	0.951964824722644
1_3412576	1	3412576	0.693485325064238
1_3412736	1	3412736	1.01250636665769
1_3425743	1	3425743	0.831126114811113
1_3426071	1	3426071	0.636444050944873
1_3426095	1	3426095	0.550363763744652
1_3430956	1	3430956	0.774827535100795
1_3431048	1	3431048	0.920624265650215
1_3432131	1	3432131	0.758966880191503
1_3463266	1	3463266	0.853094591898058
1_3463493	1	3463493	0.795141796963931
1_3469503	1	3469503	0.78811322585102
1_3471739	1	3471739	1.22124781314566
1_3473444	1	3473444	0.802160195754954
1_3477892	1	3477892	0.745673120699631
1_3478424	1	3478424	0.630269253816909
1_3478612	1	3478612	1.30889936943792
1_3479532	1	3479532	0.431489389702412
1_3480485	1	3480485	0.605347878635283
1_3492645	1	3492645	0.976242822670923
1_3492682	1	3492682	0.938422933606424
1_3492708	1	3492708	0.856105525883317
1_3493846	1	3493846	0.850234937758817
1_3494017	1	3494017	0.875232754468547
1_3494371	1	3494371	0.919775871011894
1_3495901	1	3495901	0.859403253032412
1_3495957	1	3495957	0.76016324400572
1_3496003	1	3496003	0.732630971446587
1_3497541	1	3497541	0.950838878697223
1_3499682	1	3499682	0.748789674199271
1_3499709	1	3499709	0.837427161458197
1_3499885	1	3499885	0.960658927452468
1_3501081	1	3501081	0.787499182410855
1_3501198	1	3501198	0.610551019202404
1_3505283	1	3505283	0.655264806870178
1_3505549	1	3505549	0.432225871948683
1_3508619	1	3508619	1.15279770777925
1_3510787	1	3510787	0.603688654713592
1_3514574	1	3514574	0.792020323813522
1_3514671	1	3514671	0.825360269119788
1_3515498	1	3515498	0.582699139690082
1_3524189	1	3524189	0.632288421453561
1_3547098	1	3547098	1.02807803613913
1_3595444	1	3595444	0.734954152368716
1_3602546	1	3602546	0.83996660230499
1_3631426	1	3631426	0.553880458724997
1_3722203	1	3722203	1.55775675403254
1_3727147	1	3727147	0.649005816398495
1_3752608	1	3752608	0.66248865922926
1_3752637	1	3752637	0.915254729609227
1_3752792	1	3752792	0.795005417038425
1_3755518	1	3755518	0.778566057640847
1_3756820	1	3756820	0.875126113300528
1_3761290	1	3761290	0.423081152163917
1_3761369	1	3761369	0.824595116600718
1_3762639	1	3762639	0.829770835199102
1_3763322	1	3763322	0.629428767314321
1_3763538	1	3763538	1.09269298214937
1_3763769	1	3763769	1.0216033560708
1_3767350	1	3767350	1.03742745966617
1_3769851	1	3769851	0.764738717477211
1_3771308	1	3771308	0.592982884519029
1_3782760	1	3782760	0.512853190464942
1_3786945	1	3786945	0.413868929039462
1_3787134	1	3787134	1.0110082408316
1_3795946	1	3795946	0.883593534705248
1_3815395	1	3815395	0.809592953261471
1_3815444	1	3815444	0.613466186618829
1_3823504	1	3823504	1.01090289233099
1_3829360	1	3829360	0.792314961829636
1_3829920	1	3829920	0.915181296934644
1_3833933	1	3833933	0.956434341590742
1_3835070	1	3835070	1.02582485152148
1_3836504	1	3836504	0.870134495196522
1_3839111	1	3839111	0.895322827287355
1_3839662	1	3839662	0.995840260005717
1_3839755	1	3839755	1.01195318603708
1_3847485	1	3847485	0.955443819724926
1_3851795	1	3851795	0.567835207058092
1_3883554	1	3883554	0.913233025145122
1_3883678	1	3883678	0.736714073344375
1_3889984	1	3889984	1.03815760545881
1_3890824	1	3890824	0.562705970004275
1_3890943	1	3890943	0.913533805932387
1_3891029	1	3891029	1.04663215056232
1_3891765	1	3891765	0.687727407878988
1_4711993	1	4711993	0.914290331928165
1_5863309	1	5863309	0.81320420681385
1_5864423	1	5864423	0.581662348383593
1_5864440	1	5864440	0.592847095066165
1_5866447	1	5866447	0.783597744728527
1_5875036	1	5875036	0.982785668537695
1_5875098	1	5875098	1.01122681443112
1_5877102	1	5877102	0.91370135660221
1_5880206	1	5880206	0.6768377444097
1_5890953	1	5890953	0.876707149120008
1_5904731	1	5904731	0.751053343247817
1_5905324	1	5905324	0.649128281068225
1_5905764	1	5905764	0.746980975961793
1_5909185	1	5909185	0.974652199531968
1_5948118	1	5948118	0.776945719361624
1_5978411	1	5978411	0.601700101620138
1_6073370	1	6073370	0.777364620363664
1_6082248	1	6082248	0.919775871011894
1_6082379	1	6082379	1.08353813330572
1_6085742	1	6085742	1.17626743097892
1_6085837	1	6085837	1.02460584423232
1_6085846	1	6085846	1.04530675309575
1_6085878	1	6085878	0.815152478603372
1_6085974	1	6085974	0.764078294009103
1_6086245	1	6086245	0.397097648545081
1_6088993	1	6088993	0.774432113681055
1_6098502	1	6098502	0.689853708987376
1_6099890	1	6099890	0.717987139460378
1_6099973	1	6099973	0.522105503703138
1_6109928	1	6109928	0.891679656056169
1_6124032	1	6124032	1.29642113560833
1_6125548	1	6125548	0.89432269203698
1_6130155	1	6130155	0.87560459267285
1_6130255	1	6130255	0.92823744976009
1_6136809	1	6136809	0.977147050241037
1_6149303	1	6149303	0.863718167122439
1_6152418	1	6152418	1.07623861264764
1_6152469	1	6152469	0.914365275178533
1_6207418	1	6207418	0.900358417184653
1_6208898	1	6208898	0.917349133617354
1_6208934	1	6208934	0.816371485892533
1_6208961	1	6208961	0.894178285346414
1_6209280	1	6209280	0.675427714936759
1_6210409	1	6210409	0.964763325785204
1_6211065	1	6211065	0.582020292819343
1_6212018	1	6212018	0.803692351821787
1_6212030	1	6212030	0.631400335835558
1_6213147	1	6213147	1.26188184783689
1_6218354	1	6218354	0.760420111279769
1_6225119	1	6225119	0.597396299030912
1_6235898	1	6235898	1.01401519898022
1_6244394	1	6244394	1.0775261585081
1_6245232	1	6245232	1.14359388044941
1_6250433	1	6250433	0.965085032786401
1_6250614	1	6250614	0.304800801224299
1_6254623	1	6254623	0.703896756634121
1_6294955	1	6294955	0.834510585465801
1_6339467	1	6339467	1.08167249869827
1_6349836	1	6349836	1.01222211977649
1_6425205	1	6425205	0.587200531925023
1_6440652	1	6440652	0.742269928417857
1_6441049	1	6441049	0.581662348383593
1_6445735	1	6445735	0.417275530482711
1_6447451	1	6447451	0.801939380718036
1_6448769	1	6448769	0.891593967519875
1_6448885	1	6448885	0.884881080565708
1_6449070	1	6449070	0.986470715345551
1_6452055	1	6452055	1.07262735909527
1_6454481	1	6454481	0.958115477971559
1_6461443	1	6461443	0.680309936316505
1_6462158	1	6462158	0.843540285184809
1_6462984	1	6462984	0.852153415489517
1_6463050	1	6463050	0.711528666927225
1_6464643	1	6464643	1.07920001301875
1_6468242	1	6468242	1.05914042243834
1_6468255	1	6468255	1.14130206894142
1_6468378	1	6468378	0.591605711045025
1_6468505	1	6468505	0.730158485767066
1_6469128	1	6469128	0.787069936635332
1_6469143	1	6469143	0.822578594855952
1_6473275	1	6473275	0.866354603122094
1_6473333	1	6473333	0.994289278088376
1_6474072	1	6474072	0.872177490639494
1_6474109	1	6474109	0.89012766488233
1_6474583	1	6474583	0.768747900984089
1_6475089	1	6475089	0.823532144219345
1_6475992	1	6475992	0.722954273724998
1_6476016	1	6476016	0.768565685001416
1_6506029	1	6506029	1.07262735909527
1_6506064	1	6506064	1.06416578034707
1_6506148	1	6506148	1.14907941953314
1_6550472	1	6550472	0.645617218150345
1_6554475	1	6554475	1.03876390722898
1_6555384	1	6555384	0.823900789945355
1_6555409	1	6555409	0.853094591898058
1_6571046	1	6571046	0.732630971446587
1_6571204	1	6571204	0.696134903478187
1_6574642	1	6574642	1.0216033560708
1_6575249	1	6575249	0.948996009926888
1_6578719	1	6578719	0.920937929102019
1_6579332	1	6579332	0.455410659369482
1_6579376	1	6579376	0.836228079764938
1_6581000	1	6581000	0.753210483363952
1_6593421	1	6593421	1.00915744514366
1_6633012	1	6633012	0.907773347200375
1_6633037	1	6633037	0.857848121868693
1_6634039	1	6634039	0.619380937674173
1_6634059	1	6634059	0.619768394381454
1_6635690	1	6635690	1.05518691115283
1_6636172	1	6636172	0.590866849122793
1_6638330	1	6638330	0.906268972673145
1_6644575	1	6644575	0.451763906868002
1_6645814	1	6645814	0.924235519202594
1_6645884	1	6645884	0.924701430732847
1_6651086	1	6651086	1.16729727747436
1_6825174	1	6825174	0.86341032650655
1_7370160	1	7370160	0.750051007607066
1_7370205	1	7370205	0.831126114811113
1_7621940	1	7621940	0.9153605805239
1_7663474	1	7663474	1.00896389439218
1_7663528	1	7663528	0.872470156233538
1_7664502	1	7664502	1.00223803120387
1_7664637	1	7664637	0.892360413431494
1_7664737	1	7664737	0.878249313928414
1_7670988	1	7670988	1.00223803120387
1_7732460	1	7732460	0.905730050350521
1_7737485	1	7737485	0.883090765910863
1_7738425	1	7738425	0.500488898731693
1_7778168	1	7778168	0.6761741617473
1_7809988	1	7809988	0.721609565355335
1_7810546	1	7810546	0.930899249483605
1_7819317	1	7819317	0.689853708987376
1_7826538	1	7826538	1.02143159643718
1_7826690	1	7826690	1.10284197214227
1_7827439	1	7827439	0.715616805052458
1_7827501	1	7827501	0.776678330788736
1_7827519	1	7827519	0.833840499508149
1_7827709	1	7827709	0.797699274680218
1_7829881	1	7829881	0.718445065203276
1_7829887	1	7829887	0.638730832565105
1_7829993	1	7829993	0.52377515178339
1_7830004	1	7830004	0.505812205084368
1_7830049	1	7830049	0.525384524323268
1_7842655	1	7842655	0.882656415451195
1_7842676	1	7842676	0.899987972955917
1_7846697	1	7846697	1.08796790522975
1_7852915	1	7852915	0.848432695124832
1_7852944	1	7852944	0.805972637582774
1_7935030	1	7935030	0.558138066322561
1_7939911	1	7939911	0.923850132519151
1_8013850	1	8013850	0.65431472778356
1_8013869	1	8013869	0.618395153528618
1_8013883	1	8013883	0.723936868716763
1_8014274	1	8014274	0.691897910591717
1_8330435	1	8330435	0.861194149748684
1_8330720	1	8330720	1.09468427996846
1_8330828	1	8330828	0.984090684493608
1_8335614	1	8335614	0.836228079764938
1_8339614	1	8339614	0.716835812341619
1_8343775	1	8343775	1.07071776908663
1_8343908	1	8343908	0.917845843913495
1_8355558	1	8355558	0.768747900984089
1_8358650	1	8358650	0.778342019277031
1_8358860	1	8358860	0.721501623636614
1_8359794	1	8359794	0.977434640203295
1_8360375	1	8360375	0.911090143145672
1_8360443	1	8360443	0.914775189953528
1_8360492	1	8360492	0.970529171476529
1_8360503	1	8360503	1.18666260234129
1_8360612	1	8360612	0.92823744976009
1_8361083	1	8361083	0.842129888121762
1_8361126	1	8361126	0.526257767699717
1_8624343	1	8624343	0.841441819300811
1_8656247	1	8656247	0.982872706336936
1_8861360	1	8861360	0.733590018906547
1_8949303	1	8949303	0.958516653774549
1_8949347	1	8949347	1.00223803120387
1_8949355	1	8949355	0.938107693784152
1_8949393	1	8949393	1.18779368435994
1_8951527	1	8951527	1.45768979892862
1_8974362	1	8974362	0.708054926799409
1_9007318	1	9007318	0.709041654859821
1_9007358	1	9007358	0.797699274680218
1_9014735	1	9014735	0.816086715346972
1_9014802	1	9014802	0.665874846052936
1_9014814	1	9014814	0.625002564637408
1_9014831	1	9014831	0.539266054861321
1_9038482	1	9038482	0.876707149120008
1_9039892	1	9039892	0.651740784119734
1_9041924	1	9041924	0.923628196507501
1_9057537	1	9057537	0.807859986037016
1_9058188	1	9058188	0.796377333757307
1_9104515	1	9104515	0.950191283434272
1_9104577	1	9104577	0.684497733279938
1_9105626	1	9105626	0.801098159096016
1_9242965	1	9242965	0.797620311595395
1_9245189	1	9245189	0.850234937758817
1_9245334	1	9245334	0.380749654457597
1_9246991	1	9246991	0.587200531925023
