	Chromosome	Position	28RT_T2_vs_28RT_PBMC.tumour
1_1091167	1	1091167	-1.04890732038491
1_1091290	1	1091290	-0.958141856461726
1_1091576	1	1091576	-0.98664828415072
1_1180168	1	1180168	-1.24764847365671
1_1180802	1	1180802	-0.465973451412429
1_1185041	1	1185041	-0.892788118467627
1_1185051	1	1185051	-0.982101755405908
1_1185123	1	1185123	-1.02417172679692
1_1188877	1	1188877	-1.0035023898616
1_1194632	1	1194632	-0.712113875933622
1_1196705	1	1196705	-1.04303075404824
1_1197558	1	1197558	-0.911240881492698
1_1197586	1	1197586	-0.948017639188019
1_1197745	1	1197745	-0.919042036772786
1_1203822	1	1203822	-0.875920768212981
1_1203836	1	1203836	-0.948017639188019
1_1203871	1	1203871	-0.958141856461726
1_1204015	1	1204015	-1.21593961392937
1_1204185	1	1204185	-0.92916278948996
1_1206396	1	1206396	-0.865726222240329
1_1211585	1	1211585	-0.759237788047648
1_1211644	1	1211644	-1.02227219388144
1_1212898	1	1212898	-0.978179609698271
1_1213249	1	1213249	-0.992493361252503
1_1213734	1	1213734	-0.586173079074768
1_1214100	1	1214100	-0.853059810404169
1_1217629	1	1217629	-1.27520419617727
1_1218703	1	1218703	-0.845729313674622
1_1218967	1	1218967	-0.689393799433539
1_1228651	1	1228651	-0.934458232268954
1_1228685	1	1228685	-0.820638332711791
1_1232416	1	1232416	-0.535236113849543
1_1232800	1	1232800	-0.840003657578722
1_1242506	1	1242506	-0.763152838051031
1_1242516	1	1242516	-0.852581225214546
1_1242601	1	1242601	-1.15582252430142
1_1242864	1	1242864	-0.631604508321774
1_1242871	1	1242871	-0.578437430295163
1_1242875	1	1242875	-0.627993254769395
1_1242886	1	1242886	-0.612051710900374
1_1243468	1	1243468	-1.27233430256948
1_1244420	1	1244420	-0.511688091822639
1_1246651	1	1246651	-1.04303075404824
1_1255392	1	1255392	-0.88050978868919
1_1262318	1	1262318	-0.859112480526427
1_1266173	1	1266173	-1.04670641219164
1_1266225	1	1266225	-0.820638332711791
1_1284021	1	1284021	-1.11014494990678
1_1285442	1	1285442	-1.06164643221559
1_1285529	1	1285529	-1.26939644983464
1_1285594	1	1285594	-0.995136063943928
1_1286150	1	1286150	-0.865032452070245
1_1286952	1	1286952	-1.02227219388144
1_1287578	1	1287578	-0.802936330978332
1_1287983	1	1287983	-0.804518667348514
1_1288005	1	1288005	-0.72752892832031
1_1290683	1	1290683	-1.27129974172136
1_1290687	1	1290687	-1.19567776405872
1_1291289	1	1291289	-0.641088912381079
1_1291310	1	1291310	-0.56845130911499
1_1291396	1	1291396	-0.944627049987245
1_1294498	1	1294498	-0.413214017542823
1_1296589	1	1296589	-0.953088628735441
1_1309258	1	1309258	-0.820638332711791
1_1310642	1	1310642	-0.416248077632456
1_1310993	1	1310993	-1.00705145694267
1_1311058	1	1311058	-1.12644676223588
1_1311467	1	1311467	-0.776244213353338
1_1311527	1	1311527	-0.897453929762622
1_1311620	1	1311620	-0.76549677851933
1_1312114	1	1312114	-0.889679977141443
1_1313527	1	1313527	-0.871264405781759
1_1313807	1	1313807	-0.958141856461726
1_1315577	1	1315577	-1.32843297291049
1_1319056	1	1319056	-0.865032452070245
1_1319063	1	1319063	-0.748125832927423
1_1327457	1	1327457	-1.05626658120493
1_1327560	1	1327560	-0.674787466248336
1_1327577	1	1327577	-0.561118411054234
1_1327705	1	1327705	-0.964229186340641
1_1331666	1	1331666	-0.658887262715179
1_1332116	1	1332116	-0.923731825675895
1_1332124	1	1332124	-0.820638332711791
1_1332226	1	1332226	-0.933848943159782
1_1332271	1	1332271	-0.954939424423382
1_1332677	1	1332677	-0.738176172519818
1_1333466	1	1333466	-0.922176359173853
1_1334123	1	1334123	-1.12876062807412
1_1334174	1	1334174	-1.20968062345769
1_1334422	1	1334422	-0.703824667729041
1_1336134	1	1336134	-0.768170912817656
1_1336256	1	1336256	-0.405600833432948
1_1336473	1	1336473	-0.752251357731541
1_1338022	1	1338022	-1.21491727182384
1_1339592	1	1339592	-0.789611437091167
1_1340503	1	1340503	-0.51578375118337
1_1342153	1	1342153	-0.958141856461726
1_1353897	1	1353897	-0.422088956221517
1_1354066	1	1354066	-0.557603926877998
1_1355028	1	1355028	-0.967479721041063
1_1387355	1	1387355	-0.84266463904179
1_1393431	1	1393431	-0.56155111139466
1_1399095	1	1399095	-0.843006145740246
1_1405744	1	1405744	-0.865726222240329
1_1405858	1	1405858	-1.05767753001264
1_1419135	1	1419135	-0.761744643658223
1_1419136	1	1419136	-0.720111456757827
1_1419158	1	1419158	-0.643760570627712
1_1419399	1	1419399	-0.748745414230005
1_1419540	1	1419540	-1.23567583199064
1_1420066	1	1420066	-0.666128383656166
1_1420173	1	1420173	-1.04619803312692
1_1420283	1	1420283	-0.683134808961856
1_1420931	1	1420931	-0.85101198175531
1_1426164	1	1426164	-0.647306729826229
1_1426253	1	1426253	-0.792256531341969
1_1426316	1	1426316	-0.675207893190227
1_1426353	1	1426353	-0.883648130237592
1_1434873	1	1434873	-1.30606515988203
1_1434897	1	1434897	-1.00506290384922
1_1434899	1	1434899	-1.20592848859658
1_1436888	1	1436888	-1.23959088199402
1_1436889	1	1436889	-1.26286066131687
1_1437061	1	1437061	-0.981103004905037
1_1437288	1	1437288	-0.896989218841906
1_1439581	1	1439581	-0.521078050852883
1_1439682	1	1439682	-1.18138567648968
1_1439715	1	1439715	-1.37863378583268
1_1452367	1	1452367	-0.79755471959875
1_1455506	1	1455506	-0.721102659160877
1_1455812	1	1455812	-1.29312610417453
1_1455828	1	1455828	-1.09564538021166
1_1457141	1	1457141	-0.526907129655081
1_1457142	1	1457142	-0.538495103930293
1_1460831	1	1460831	-0.754750397055334
1_1460864	1	1460864	-0.874077591673252
1_1468408	1	1468408	-1.10303806341252
1_1468434	1	1468434	-0.990563334154104
1_1477343	1	1477343	-0.990563334154104
1_1478568	1	1478568	-0.650713331269479
1_1485152	1	1485152	-0.683134808961856
1_1485808	1	1485808	-0.56386291734968
1_1487887	1	1487887	-0.459756603479853
1_1489782	1	1489782	-1.02708921017922
1_1490287	1	1490287	-0.627993254769395
1_1490346	1	1490346	-0.705161115291855
1_1490373	1	1490373	-0.83623518776281
1_1495604	1	1495604	-1.16167525054686
1_1495695	1	1495695	-1.40560083343295
1_1495725	1	1495725	-0.978179609698271
1_1495783	1	1495783	-0.481836419260033
1_1495793	1	1495793	-0.472715029291485
1_1512312	1	1512312	-1.35115304941057
1_1523889	1	1523889	-0.856858520624544
1_1533961	1	1533961	-0.479601414876724
1_1535427	1	1535427	-0.577367181699427
1_1535428	1	1535428	-0.66566367273545
1_1544894	1	1544894	-0.89388731474243
1_1599902	1	1599902	-0.914614480920805
1_1615755	1	1615755	-1.05601639564272
1_1615856	1	1615856	-1.05093595213359
1_1615869	1	1615869	-1.13032283184441
1_1616572	1	1616572	-0.56845130911499
1_1623412	1	1623412	-0.899589674106613
1_1623829	1	1623829	-0.917935534066706
1_1623847	1	1623847	-0.954939424423382
1_1625566	1	1625566	-1.07589538795387
1_1627150	1	1627150	-0.907053084529264
1_1627322	1	1627322	-1.01328341065419
1_1629261	1	1629261	-0.721102659160877
1_1630322	1	1630322	-0.858113038130454
1_1632438	1	1632438	-1.70960702032305
1_1636993	1	1636993	-1.17427528732649
1_1637828	1	1637828	-0.964229186340641
1_1665856	1	1665856	-0.541255932790514
1_1669706	1	1669706	-1.0199471409352
1_1704310	1	1704310	-0.638435001491042
1_1719368	1	1719368	-0.999608473757111
1_1732521	1	1732521	-0.44682349615946
1_1752910	1	1752910	-1.01046289159181
1_1754628	1	1754628	-0.97371766271618
1_1754642	1	1754642	-0.974966479103085
1_1757280	1	1757280	-1.10074625190453
1_1759105	1	1759105	-0.705161115291855
1_1762005	1	1762005	-1.57806802943771
1_1815818	1	1815818	-0.955797915993427
1_1891375	1	1891375	-0.820638332711791
1_1915326	1	1915326	-1.00619398586787
1_1916540	1	1916540	-0.646608932936742
1_1916792	1	1916792	-0.586173079074768
1_1918513	1	1918513	-0.820638332711791
1_1923136	1	1923136	-0.839497359963107
1_1923140	1	1923140	-0.858113038130454
1_1923904	1	1923904	-0.521078050852883
1_1924451	1	1924451	-0.876491567445309
1_1926326	1	1926326	-0.958141856461726
1_1926457	1	1926457	-0.54855878727499
1_1926661	1	1926661	-0.841102435271507
1_1926722	1	1926722	-0.282981546768992
1_1942086	1	1942086	-0.565381277469717
1_1944420	1	1944420	-0.48056289111417
1_1956754	1	1956754	-1.86900135427319
1_1964940	1	1964940	-0.627993254769395
1_1966450	1	1966450	-0.704124323985366
1_1966521	1	1966521	-1.00121057835361
1_1968644	1	1968644	-1.26809730968301
1_1968772	1	1968772	-0.953904863575256
1_1970690	1	1970690	-1.07589538795387
1_1970786	1	1970786	-0.894638914155568
1_1972962	1	1972962	-0.854585664635129
1_1974028	1	1974028	-1.09365682711821
1_1985090	1	1985090	-0.764928900125504
1_2023748	1	2023748	-0.911786220769986
1_2024324	1	2024324	-1.2243605187628
1_2024503	1	2024503	-0.820638332711791
1_2024579	1	2024579	-0.943495080497325
1_2025598	1	2025598	-0.804871016853475
1_2025673	1	2025673	-0.94616921479565
1_2029235	1	2029235	-0.930262823886289
1_2029675	1	2029675	-0.757073203934325
1_2030027	1	2030027	-0.982909761610669
1_2056554	1	2056554	-0.853059810404169
1_2059575	1	2059575	-0.83623518776281
1_2074688	1	2074688	-1.07340440309176
1_2169339	1	2169339	-1.30606515988203
1_2169401	1	2169401	-0.718068599071243
1_2169539	1	2169539	-0.790890989317739
1_2169545	1	2169545	-0.972641426156841
1_2180521	1	2180521	-0.974966479103085
1_2181939	1	2181939	-0.831207574421979
1_2182126	1	2182126	-0.961500868551641
1_2182337	1	2182337	-1.1685616361321
1_2182380	1	2182380	-1.2671540634638
1_2182443	1	2182443	-1.24148145367184
1_2182461	1	2182461	-1.08002496153044
1_2182465	1	2182465	-1.03363205604599
1_2190570	1	2190570	-0.792623956542195
1_2198019	1	2198019	-0.641088912381079
1_2201209	1	2201209	-1.43839076855062
1_2229237	1	2229237	-0.327598321431674
1_2240778	1	2240778	-0.329651980199649
1_2303882	1	2303882	-0.996488168111209
1_2303939	1	2303939	-0.586173079074768
1_2304552	1	2304552	-0.586173079074768
1_2306103	1	2306103	-0.778818157017164
1_2321534	1	2321534	-0.657139600428912
1_2332683	1	2332683	-0.451404523046072
1_2332752	1	2332752	-0.393217108977115
1_2358704	1	2358704	-0.498710237824429
1_2379143	1	2379143	-0.762535378148223
1_2403103	1	2403103	-0.808360002933355
1_2405080	1	2405080	-0.894638914155568
1_2406784	1	2406784	-0.521078050852883
1_2406885	1	2406885	-0.997516094795871
1_2408773	1	2408773	-0.56845130911499
1_2412497	1	2412497	-0.734908458685907
1_2427689	1	2427689	-0.91289684056378
1_2430360	1	2430360	-0.498710237824429
1_2430393	1	2430393	-1.0035023898616
1_2489840	1	2489840	-0.958141856461726
1_2491211	1	2491211	-0.903100492903764
1_2494907	1	2494907	-0.977363836399244
1_2496979	1	2496979	-1.54855878727499
1_2499031	1	2499031	-0.671936602356992
1_2499660	1	2499660	-0.841102435271507
1_2502162	1	2502162	-0.72752892832031
1_2502203	1	2502203	-0.631604508321774
1_2502535	1	2502535	-0.884768670131507
1_2502732	1	2502732	-0.695107450627932
1_2504255	1	2504255	-1.11831888135248
1_2504662	1	2504662	-0.738176172519818
1_2504832	1	2504832	-0.695107450627932
1_2504866	1	2504866	-0.953088628735441
1_2520751	1	2520751	-0.820638332711791
1_2520882	1	2520882	-0.686620984740104
1_2521922	1	2521922	-0.740467984027808
1_2526571	1	2526571	-0.820638332711791
1_2529533	1	2529533	-0.847110544072982
1_2529549	1	2529549	-1.08622844344934
1_2529768	1	2529768	-0.569099565715827
1_2529825	1	2529825	-0.686620984740104
1_2530132	1	2530132	-0.88592979296351
1_2556673	1	2556673	-0.398811667770309
1_2559170	1	2559170	-1.57066007970344
1_2559173	1	2559173	-1.54500389009836
1_2559459	1	2559459	-0.804518667348514
1_2559483	1	2559483	-0.772809807621176
1_2559621	1	2559621	-0.664987462251597
1_2559632	1	2559632	-0.738176172519818
1_2559902	1	2559902	-0.820638332711791
1_2588536	1	2588536	-0.834444132236822
1_2591576	1	2591576	-0.883374088059754
1_2591973	1	2591973	-0.470695861654832
1_2592689	1	2592689	-0.778818157017164
1_2593833	1	2593833	-0.820638332711791
1_2596033	1	2596033	-0.617821449712104
1_2596615	1	2596615	-1.13614015843972
1_2606261	1	2606261	-0.982909761610669
1_2609829	1	2609829	-0.638800009725978
1_2609830	1	2609830	-0.638800009725978
1_2644433	1	2644433	-0.54855878727499
1_2783654	1	2783654	-0.962299481935382
1_2785877	1	2785877	-1.02057590322054
1_2787490	1	2787490	-1.66017366051855
1_2789597	1	2789597	-0.918670415672318
1_2800342	1	2800342	-1.03294193642466
1_2800478	1	2800478	-0.871264405781759
1_2800484	1	2800484	-0.836579876580813
1_2800545	1	2800545	-0.909905670808879
1_2800790	1	2800790	-1.04303075404824
1_3021701	1	3021701	-1.19100678265691
1_3021858	1	3021858	-0.958141856461726
1_3021860	1	3021860	-0.820638332711791
1_3022005	1	3022005	-0.595571777077018
1_3022574	1	3022574	-1.62173426429771
1_3186480	1	3186480	-0.736246145421419
1_3385157	1	3385157	-0.742635820710518
1_3386696	1	3386696	-0.906029823942436
1_3396544	1	3396544	-1.18742066338341
1_3405509	1	3405509	-0.446242817930293
1_3411623	1	3411623	-0.721102659160877
1_3411715	1	3411715	-1.14256642759915
1_3411881	1	3411881	-0.405600833432948
1_3412576	1	3412576	-0.476303824776149
1_3412736	1	3412736	-0.479601414876724
1_3425743	1	3425743	-0.717544839747688
1_3426071	1	3426071	-0.552705127465158
1_3426095	1	3426095	-0.697063647593259
1_3430956	1	3430956	-0.885733360933676
1_3431048	1	3431048	-0.691003052295196
1_3432131	1	3432131	-1.25804364501909
1_3463266	1	3463266	-0.695107450627932
1_3463493	1	3463493	-1.2945695210442
1_3469503	1	3469503	-0.481836419260033
1_3471739	1	3471739	-0.799879772544994
1_3473444	1	3473444	-0.698959776123539
1_3477892	1	3477892	-0.773332617933434
1_3478424	1	3478424	-1.11609421623796
1_3478612	1	3478612	-0.660173660518545
1_3479532	1	3479532	-0.388322842001112
1_3480485	1	3480485	-0.53335638063132
1_3492645	1	3492645	-0.583599135410942
1_3492682	1	3492682	-0.707629370882605
1_3492708	1	3492708	-0.707629370882605
1_3493846	1	3493846	-0.770597650212196
1_3494017	1	3494017	-0.756507995292076
1_3494371	1	3494371	-0.607234694602598
1_3495901	1	3495901	-0.770885297514692
1_3495957	1	3495957	-0.631160533848079
1_3496003	1	3496003	-0.623601485652238
1_3497541	1	3497541	-1.12674146043747
1_3499682	1	3499682	-1.25804364501909
1_3499709	1	3499709	-1.19678681859704
1_3499885	1	3499885	-0.69308828299128
1_3501081	1	3501081	-0.889679977141443
1_3501198	1	3501198	-1.1953831260426
1_3505283	1	3505283	-1.01918401209387
1_3505549	1	3505549	-1.14256642759915
1_3508619	1	3508619	-0.764054804345424
1_3510787	1	3510787	-0.405600833432948
1_3514574	1	3514574	-0.678619327839363
1_3514671	1	3514671	-0.566881740466008
1_3515498	1	3515498	-0.675689996800692
1_3524189	1	3524189	-1.26315656841274
1_3547098	1	3547098	-0.734223580894318
1_3595444	1	3595444	-0.906029823942436
1_3602546	1	3602546	-0.732411149700056
1_3631426	1	3631426	-1.31540302446137
1_3722203	1	3722203	-0.481151866440124
1_3727147	1	3727147	-0.256737447518465
1_3752608	1	3752608	-0.64006608706997
1_3752637	1	3752637	-0.501359816238378
1_3752792	1	3752792	-0.857164208736905
1_3755518	1	3755518	-0.584825395613022
1_3756820	1	3756820	-2.06068942054475
1_3761290	1	3761290	-0.503448156831092
1_3761369	1	3761369	-1.07629320817999
1_3762639	1	3762639	-0.793157596289685
1_3763322	1	3763322	-0.744017051108879
1_3763538	1	3763538	-1.03294193642466
1_3763769	1	3763769	-1.2451361612397
1_3767350	1	3767350	-1.36120671407449
1_3769851	1	3769851	-1.28221841792767
1_3771308	1	3771308	-1.32965198019965
1_3782760	1	3782760	-0.645066768128337
1_3786945	1	3786945	-0.918485656109936
1_3787134	1	3787134	-0.779218405331811
1_3795946	1	3795946	-0.901558328095359
1_3815395	1	3815395	-0.750929360900387
1_3815444	1	3815444	-0.583599135410942
1_3823504	1	3823504	-0.753524136853254
1_3829360	1	3829360	-0.993474929574007
1_3829920	1	3829920	-1.13666582615947
1_3833933	1	3833933	-0.768170912817656
1_3835070	1	3835070	-0.808147388528594
1_3836504	1	3836504	-0.862458508406418
1_3839111	1	3839111	-0.357666356369246
1_3839662	1	3839662	-1.28491935101048
1_3839755	1	3839755	-0.891027660603189
1_3847485	1	3847485	-0.711409262957033
1_3851795	1	3851795	-0.680460674663531
1_3883554	1	3883554	-0.333451047677112
1_3883678	1	3883678	-0.733175491461452
1_3889984	1	3889984	-0.891027660603189
1_3890824	1	3890824	-0.448669555324833
1_3890943	1	3890943	-0.633869821106065
1_3891029	1	3891029	-0.820638332711791
1_3891765	1	3891765	-0.708992976882882
1_4711993	1	4711993	-1.0652607014317
1_5863309	1	5863309	-0.985383095048423
1_5864423	1	5864423	-0.895406101113763
1_5864440	1	5864440	-0.909905670808879
1_5866447	1	5866447	-0.756507995292076
1_5875036	1	5875036	-0.698959776123539
1_5875098	1	5875098	-0.654628381272862
1_5877102	1	5877102	-0.738176172519818
1_5880206	1	5880206	-0.996488168111209
1_5890953	1	5890953	-0.422674346791889
1_5904731	1	5904731	-0.914614480920805
1_5905324	1	5905324	-1.11762007046892
1_5905764	1	5905764	-0.844485074666159
1_5909185	1	5909185	-1.13849676329011
1_5948118	1	5948118	-1.04303075404824
1_5978411	1	5978411	-0.764054804345424
1_6073370	1	6073370	-0.754750397055334
1_6082248	1	6082248	-0.776916955282473
1_6082379	1	6082379	-0.589312786605335
1_6085742	1	6085742	-0.246903087413889
1_6085837	1	6085837	-0.593867470864769
1_6085846	1	6085846	-0.690054222901647
1_6085878	1	6085878	-0.649157864767438
1_6085974	1	6085974	-0.636926379539403
1_6086245	1	6086245	-1.17113557979592
1_6088993	1	6088993	-1.07340440309176
1_6098502	1	6098502	-1.28006995134909
1_6099890	1	6099890	-0.960189685110585
1_6099973	1	6099973	-0.98774831854705
1_6109928	1	6109928	-0.598245911375343
1_6124032	1	6124032	-0.887133744498698
1_6125548	1	6125548	-1.17211070321317
1_6130155	1	6130155	-1.10357229598329
1_6130255	1	6130255	-0.884768670131507
1_6136809	1	6136809	-0.252749345349577
1_6149303	1	6149303	-0.648457357329111
1_6152418	1	6152418	-1.17573329153435
1_6152469	1	6152469	-1.18742066338341
1_6207418	1	6207418	-0.865726222240329
1_6208898	1	6208898	-0.86900135427319
1_6208934	1	6208934	-0.978179609698271
1_6208961	1	6208961	-0.747881990276477
1_6209280	1	6209280	-0.898640844713065
1_6210409	1	6210409	-1.05093595213359
1_6211065	1	6211065	-0.674787466248336
1_6212018	1	6212018	-0.840537890149496
1_6212030	1	6212030	-0.799879772544994
1_6213147	1	6213147	-0.723962313300117
1_6218354	1	6218354	-1.28006995134909
1_6225119	1	6225119	-1.02708921017922
1_6235898	1	6235898	-0.544120697514376
1_6244394	1	6244394	-0.944966467713993
1_6245232	1	6245232	-0.503448156831092
1_6250433	1	6250433	-0.58419813688971
1_6250614	1	6250614	-0.627993254769395
1_6254623	1	6254623	-1.2535977399879
1_6294955	1	6294955	-1.08653239268483
1_6339467	1	6339467	-0.722457938772888
1_6349836	1	6349836	-1.00224513920174
1_6425205	1	6425205	-0.883832159198985
1_6440652	1	6440652	-1.01703554551529
1_6441049	1	6441049	-0.423302835166406
1_6445735	1	6445735	-0.351153049410571
1_6447451	1	6447451	-0.687371801848327
1_6448769	1	6448769	-1.13495324348928
1_6448885	1	6448885	-0.944020748217073
1_6449070	1	6449070	-1.16546682970923
1_6452055	1	6452055	-1.07439492495757
1_6454481	1	6454481	-0.650713331269479
1_6461443	1	6461443	-0.985697578982288
1_6462158	1	6462158	-1.25673744751846
1_6462984	1	6462984	-0.908924865129746
1_6463050	1	6463050	-0.702375451091971
1_6464643	1	6464643	-0.94616921479565
1_6468242	1	6468242	-1.04303075404824
1_6468255	1	6468255	-1.12729967094584
1_6468378	1	6468378	-0.743470472189331
1_6468505	1	6468505	-0.557603926877998
1_6469128	1	6469128	-0.745087299704614
1_6469143	1	6469143	-0.75282294848422
1_6473275	1	6473275	-0.627993254769395
1_6473333	1	6473333	-1.01501637787864
1_6474072	1	6474072	-0.947170738640723
1_6474109	1	6474109	-0.820638332711791
1_6474583	1	6474583	-1.19344759660134
1_6475089	1	6475089	-0.967479721041063
1_6475992	1	6475992	-1.04303075404824
1_6476016	1	6476016	-1.06271311990994
1_6506029	1	6506029	-1.06856584615538
1_6506064	1	6506064	-1.05626658120493
1_6506148	1	6506148	-0.978179609698271
1_6550472	1	6550472	-1.22829630162504
1_6554475	1	6554475	-0.761744643658223
1_6555384	1	6555384	-1.04303075404824
1_6555409	1	6555409	-1.05626658120493
1_6571046	1	6571046	-1.20766145582104
1_6571204	1	6571204	-0.903100492903764
1_6574642	1	6574642	-0.960815990760052
1_6575249	1	6575249	-0.426359393599745
1_6578719	1	6578719	-0.6863372410002
1_6579332	1	6579332	-0.341470496013232
1_6579376	1	6579376	-0.736246145421419
1_6581000	1	6581000	-1.32071193584643
1_6593421	1	6593421	-1.05050587461039
1_6633012	1	6633012	-0.72752892832031
1_6633037	1	6633037	-1.14256642759915
1_6634039	1	6634039	-0.553992673325619
1_6634059	1	6634059	-0.660697419842101
1_6635690	1	6635690	-1.04303075404824
1_6636172	1	6636172	-0.787972143791469
1_6638330	1	6638330	-0.664236775369224
1_6644575	1	6644575	-0.661160118704595
1_6645814	1	6645814	-0.858113038130454
1_6645884	1	6645884	-0.969501718626274
1_6651086	1	6651086	-0.785872914551115
1_6825174	1	6825174	-0.676728921313078
1_7370160	1	7370160	-0.809831577755209
1_7370205	1	7370205	-0.998176518263979
1_7621940	1	7621940	-1.29980616941035
1_7663474	1	7663474	-1.215497950053
1_7663528	1	7663528	-1.22117626229552
1_7664502	1	7664502	-0.853805196646991
1_7664637	1	7664637	-1.16708874673322
1_7664737	1	7664737	-0.920174006262706
1_7670988	1	7670988	-0.463481749513447
1_7732460	1	7732460	-0.780745605588279
1_7737485	1	7737485	-0.980294998700276
1_7738425	1	7738425	-0.820638332711791
1_7778168	1	7778168	-0.886440391107537
1_7809988	1	7809988	-0.239722665053337
1_7810546	1	7810546	-0.905805715974468
1_7819317	1	7819317	-0.531131715516806
1_7826538	1	7826538	-0.680913569045178
1_7826690	1	7826690	-0.98774831854705
1_7827439	1	7827439	-0.760932086587524
1_7827501	1	7827501	-0.754549142254019
1_7827519	1	7827519	-0.941390492172402
1_7827709	1	7827709	-0.770885297514692
1_7829881	1	7829881	-0.721102659160877
1_7829887	1	7829887	-0.658887262715179
1_7829993	1	7829993	-1.12180786743236
1_7830004	1	7830004	-1.0035023898616
1_7830049	1	7830049	-1.04303075404824
1_7842655	1	7842655	-0.598245911375343
1_7842676	1	7842676	-0.769654403992986
1_7846697	1	7846697	-0.55385179201689
1_7852915	1	7852915	-1.00386015676756
1_7852944	1	7852944	-0.934295114507358
1_7935030	1	7935030	-0.759237788047648
1_7939911	1	7939911	-1.29095826749182
1_8013850	1	8013850	-0.787972143791469
1_8013869	1	8013869	-0.941390492172402
1_8013883	1	8013883	-0.831693521220787
1_8014274	1	8014274	-0.786422617373878
1_8330435	1	8330435	-0.985383095048423
1_8330720	1	8330720	-0.782164184897156
1_8330828	1	8330828	-0.940932566429503
1_8335614	1	8335614	-0.375853490038895
1_8339614	1	8339614	-1.24594416744446
1_8343775	1	8343775	-0.708992976882882
1_8343908	1	8343908	-0.510298212099641
1_8355558	1	8355558	-0.698154326186796
1_8358650	1	8358650	-1.01096954481594
1_8358860	1	8358860	-0.969501718626274
1_8359794	1	8359794	-0.870391367908891
1_8360375	1	8360375	-1.17427528732649
